Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-24H-ESS,Mar,PETROBRAS 57,""10596,432"",0,""259,50055"",0,""80296,114"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-27HP-ESS,Mar,PETROBRAS 57,""14559,148"",0,""875,6375"",0,""92083,292"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-2HPA-ESS,Mar,PETROBRAS 57,""9441,997"",0,""597,72903"",0,""11307,897"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-31H-ESS,Mar,PETROBRAS 57,""15246,992"",0,""880,91944"",0,""113182,27"",,,,,,,,"
2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-33H-ESS,Mar,Não Informado,0,0,0,0,0,,,,,,,,
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-34H-ESS,Mar,FPSO CIDADE DE ANCHIETA,""57455,884"",0,""14821,76069"",0,""31009,49"",,,,,,,,"
2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-36-ESS,Mar,Não Informado,0,0,0,0,0,,,,,,,,
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-37H-ESS,Mar,PETROBRAS 58,""30580,872"",0,""2203,5262"",0,""84478,123"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-38-ESS,Mar,PETROBRAS 58,,,,,,0,""127851,7"",0,0,0,0,0,0"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-44-ESS,Mar,PETROBRAS 58,""9145,453"",0,""1921,65001"",0,""6370,665"",,,,,,,,"
2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-45-ESS,Mar,Não Informado,0,0,0,0,0,,,,,,,,
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-49-ESS,Mar,PETROBRAS 58,,,,,,0,""161854,3"",0,0,0,0,0,0"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-4HP-ESS,Mar,PETROBRAS 57,""16640,972"",0,""852,84366"",0,""58966,865"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-51H-ESS,Mar,PETROBRAS 57,""9328,948"",0,""621,28749"",0,""80659,504"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-53H-ESS,Mar,PETROBRAS 57,""11869,566"",0,""590,06543"",0,""65711,744"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-54HA-ESS,Mar,PETROBRAS 57,""17447,01"",0,""1036,75813"",0,""95710,84"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-55-ESS,Mar,PETROBRAS 58,""12883,536"",0,""2303,9602"",0,""4460,832"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-57DPA-ESS,Mar,PETROBRAS 58,""54613,012"",0,""10705,67374"",0,""97968,508"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-58DPA-ESS,Mar,PETROBRAS 58,""55644,562"",0,""12039,89993"",0,""23564,769"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-6HA-ESS,Mar,PETROBRAS 57,""5255,851"",0,""288,35334"",0,""7122,486"",,,,,,,,"
2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-9HP-ESS,Mar,Não Informado,0,0,0,0,0,,,,,,,,
"2021,01/2021,Espírito Santo,Campos,JUBARTE,8-BAZ-7-ESS,Mar,FPSO CIDADE DE ANCHIETA,,,,,,0,""176680,5"",0,0,0,0,0,0"
2021,01/2021,Espírito Santo,Campos,JUBARTE,8-BFR-5HP-ESS,Mar,FPSO CAPIXABA,,,,,,0,64227,0,0,0,0,0,0
2021,01/2021,Espírito Santo,Campos,JUBARTE,8-CHT-10H-ESS,Mar,FPSO CAPIXABA,,,,,,0,170562,0,0,0,0,0,0
2021,01/2021,Espírito Santo,Campos,JUBARTE,8-CHT-8H-ESS,Mar,FPSO CAPIXABA,,,,,,0,122282,0,0,0,0,0,0
"2021,01/2021,Espírito Santo,Campos,JUBARTE,8-JUB-20H-ESS,Mar,PETROBRAS 57,,,,,,0,""173405,1"",0,0,0,0,0,0"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,8-JUB-23HB-ESS,Mar,PETROBRAS 57,,,,,,0,""145941,3"",0,0,0,0,0,0"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,8-JUB-25HA-ESS,Mar,PETROBRAS 57,,,,,,0,""246985,2"",0,0,0,0,0,0"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,8-JUB-28HA-ESS,Mar,PETROBRAS 57,,,,,,0,""227092,2"",0,0,0,0,0,0"
